link	mun	region	lon	lat	ekatte	settlement_type	name	type	name_tr	mun_tr	region_tr
https://www.ekatte.com/област-враца/община-бяла-слатина/драшан	Бяла Слатина	Враца	23.91557	43.254492	23618	с	Драшан		drashan	bjala-slatina	vratsa
https://www.ekatte.com/област-кюстендил/община-дупница/кременик	Дупница	Кюстендил	23.070045	42.363518	39640	с	Кременик		kremenik	dupnitsa	kjustendil
https://www.ekatte.com/област-перник/община-трън/берайнци	Трън	Перник	22.593832	42.807311	3873	с	Берайнци		berajntsi	trn	pernik
https://www.ekatte.com/област-шумен/община-никола-козлево/каравелово	Никола Козлево	Шумен	27.302534	43.532581	36194	с	Каравелово		karavelovo	nikola-kozlevo	shumen
https://www.ekatte.com/област-кърджали/община-момчилград/върхари	Момчилград	Кърджали	25.379625	41.54334	86030	с	Върхари		vrhari	momchilgrad	krdzhali
https://www.ekatte.com/област-видин/община-белоградчик/боровица	Белоградчик	Видин	22.736561	43.578455	5582	с	Боровица		borovitsa	belogradchik	vidin
https://www.ekatte.com/област-велико-търново/община-елена/николовци	Елена	Велико Търново	25.847671	42.961665	51696	с	Николовци		nikolovtsi	elena	veliko-trnovo
https://www.ekatte.com/област-кюстендил/община-кюстендил/савойски	Кюстендил	Кюстендил	22.645654	42.142787	65047	с	Савойски		savojski	kjustendil	kjustendil
https://www.ekatte.com/област-хасково/община-минерални-бани/винево	Минерални бани	Хасково	25.306764	41.810601	11106	с	Винево		vinevo	mineralni-bani	haskovo
https://www.ekatte.com/област-силистра/община-ситово/любен	Ситово	Силистра	27.044828	43.941648	44495	с	Любен		ljuben	sitovo	silistra
https://www.ekatte.com/област-стара-загора/община-стара-загора/козаревец	Стара Загора	Стара Загора	25.580703	42.219527	37678	с	Козаревец		kozarevets	stara-zagora	stara-zagora
https://www.ekatte.com/област-плевен/община-белене/кулина-вода	Белене	Плевен	25.035881	43.590814	40573	с	Кулина вода		kulina-voda	belene	pleven
https://www.ekatte.com/област-велико-търново/община-велико-търново/дебелец	Велико Търново	Велико Търново	25.620435	43.04335	20242	гр	Дебелец	gr	debelets	veliko-trnovo	veliko-trnovo
https://www.ekatte.com/област-пловдив/община-родопи/храбрино	Родопи	Пловдив	24.647438	42.045393	77373	с	Храбрино		hrabrino	rodopi	plovdiv
https://www.ekatte.com/област-велико-търново/община-елена/палици	Елена	Велико Търново	26.001988	42.919972	55261	с	Палици		palitsi	elena	veliko-trnovo
https://www.ekatte.com/област-перник/община-радомир/дебели-лаг	Радомир	Перник	22.870771	42.460954	20256	с	Дебели лаг		debeli-lag	radomir	pernik
https://www.ekatte.com/област-перник/община-ковачевци/ракиловци	Ковачевци	Перник	22.795504	42.545543	61947	с	Ракиловци		rakilovtsi	kovachevtsi	pernik
https://www.ekatte.com/област-смолян/община-смолян/потока	Смолян	Смолян	24.604163	41.472718	57916	с	Потока		potoka	smoljan	smoljan
https://www.ekatte.com/област-кюстендил/община-кюстендил/лозно	Кюстендил	Кюстендил	22.6539	42.2944	44183	с	Лозно		lozno	kjustendil	kjustendil
https://www.ekatte.com/област-благоевград/община-петрич/чучулигово	Петрич	Благоевград	23.360201	41.403008	81832	с	Чучулигово		chuchuligovo	petrich	blagoevgrad
https://www.ekatte.com/област-благоевград/община-сатовча/сатовча	Сатовча	Благоевград	23.976022	41.619479	65440	с	Сатовча		satovcha	satovcha	blagoevgrad
https://www.ekatte.com/област-благоевград/община-гърмен/дебрен	Гърмен	Благоевград	23.822927	41.581779	20331	с	Дебрен		debren	grmen	blagoevgrad
https://www.ekatte.com/област-благоевград/община-разлог/елешница	Разлог	Благоевград	23.6167	41.8667	27293	с	Елешница		eleshnitsa	razlog	blagoevgrad
https://www.ekatte.com/област-силистра/община-кайнарджа/посев	Кайнарджа	Силистра	27.422491	43.867525	57889	с	Посев		posev	kajnardzha	silistra
https://www.ekatte.com/област-пловдив/община-лъки/здравец	Лъки	Пловдив	24.79908	41.749252	31423	с	Здравец		zdravets	lki	plovdiv
https://www.ekatte.com/област-сливен/община-котел/жеравна	Котел	Сливен	26.459034	42.833043	29283	с	Жеравна		zheravna	kotel	sliven
https://www.ekatte.com/област-велико-търново/община-елена/велювци	Елена	Велико Търново	25.838142	42.969362	10598	с	Велювци		veljuvtsi	elena	veliko-trnovo
https://www.ekatte.com/област-смолян/община-баните/малка-арда	Баните	Смолян	24.930723	41.617397	46406	с	Малка Арда		malka-arda	banite	smoljan
https://www.ekatte.com/област-габрово/община-габрово/семерджиите	Габрово	Габрово	25.392455	42.894153	66161	с	Семерджиите		semerdzhiite	gabrovo	gabrovo
https://www.ekatte.com/област-кърджали/община-кърджали/чеганци	Кърджали	Кърджали	25.296382	41.715841	80248	с	Чеганци		chegantsi	krdzhali	krdzhali
https://www.ekatte.com/област-кърджали/община-крумовград/егрек	Крумовград	Кърджали	25.621201	41.330077	27036	с	Егрек		egrek	krumovgrad	krdzhali
https://www.ekatte.com/област-сливен/община-нова-загора/събрано	Нова Загора	Сливен	25.898112	42.431024	70456	с	Събрано		sbrano	nova-zagora	sliven
https://www.ekatte.com/област-бургас/община-сунгурларе/лозица	Сунгурларе	Бургас	26.779319	42.728885	44149	с	Лозица		lozitsa	sungurlare	burgas
https://www.ekatte.com/област-ямбол/община-тунджа/челник	Тунджа	Ямбол	26.685255	42.398056	80306	с	Челник		chelnik	tundzha	jambol
https://www.ekatte.com/област-смолян/община-смолян/виево	Смолян	Смолян	24.828304	41.640544	11048	с	Виево		vievo	smoljan	smoljan
https://www.ekatte.com/област-кърджали/община-черноочене/йончово	Черноочене	Кърджали	25.203154	41.847563	34117	с	Йончово		jonchovo	chernoochene	krdzhali
https://www.ekatte.com/област-ямбол/община-болярово/ситово	Болярово	Ямбол	26.768741	42.061874	66679	с	Ситово		sitovo	boljarovo	jambol
https://www.ekatte.com/област-кюстендил/община-невестино/неделкова-гращица	Невестино	Кюстендил	22.800728	42.236981	51336	с	Неделкова Гращица		nedelkova-graschitsa	nevestino	kjustendil
https://www.ekatte.com/област-велико-търново/община-елена/бадевци	Елена	Велико Търново	25.750653	42.883837	2169	с	Бадевци		badevtsi	elena	veliko-trnovo
https://www.ekatte.com/област-търговище/община-попово/паламарца	Попово	Търговище	26.1667	43.3833	55213	с	Паламарца		palamartsa	popovo	trgovische
https://www.ekatte.com/област-велико-търново/община-павликени/бутово	Павликени	Велико Търново	25.216414	43.30243	7123	с	Бутово		butovo	pavlikeni	veliko-trnovo
https://www.ekatte.com/област-кърджали/община-ардино/търна	Ардино	Кърджали	25.171402	41.665762	73897	с	Търна		trna	ardino	krdzhali
https://www.ekatte.com/област-хасково/община-димитровград/ябълково	Димитровград	Хасково	25.440521	42.069921	87076	с	Ябълково		jablkovo	dimitrovgrad	haskovo
https://www.ekatte.com/област-хасково/община-стамболово/стамболово	Стамболово	Хасково	25.642793	41.776289	68727	с	Стамболово		stambolovo	stambolovo	haskovo
https://www.ekatte.com/област-видин/община-видин/ботево	Видин	Видин	22.861384	43.836832	5832	с	Ботево		botevo	vidin	vidin
https://www.ekatte.com/област-хасково/община-любимец/васково	Любимец	Хасково	26.198168	41.917209	10286	с	Васково		vaskovo	ljubimets	haskovo
https://www.ekatte.com/област-търговище/община-попово/славяново	Попово	Търговище	26.1833	43.2667	67091	с	Славяново		slavjanovo	popovo	trgovische
https://www.ekatte.com/област-сливен/община-нова-загора/млекарево	Нова Загора	Сливен	26.087951	42.356199	48725	с	Млекарево		mlekarevo	nova-zagora	sliven
https://www.ekatte.com/област-търговище/община-антоново/свободица	Антоново	Търговище	26.184859	43.077078	65855	с	Свободица		svoboditsa	antonovo	trgovische
https://www.ekatte.com/област-варна/община-белослав/разделна	Белослав	Варна	27.635786	43.166356	61741	с	Разделна		razdelna	beloslav	varna
https://www.ekatte.com/област-хасково/община-свиленград/димитровче	Свиленград	Хасково	26.251505	41.814887	21078	с	Димитровче		dimitrovche	svilengrad	haskovo
https://www.ekatte.com/област-хасково/община-маджарово/брусевци	Маджарово	Хасково	25.93552	41.582467	6584	с	Брусевци		brusevtsi	madzharovo	haskovo
https://www.ekatte.com/област-благоевград/община-благоевград/дъбрава	Благоевград	Благоевград	23.131804	42.048388	24367	с	Дъбрава		dbrava	blagoevgrad	blagoevgrad
https://www.ekatte.com/област-смолян/община-смолян/попрелка	Смолян	Смолян	24.636317	41.535545	57710	с	Попрелка		poprelka	smoljan	smoljan
https://www.ekatte.com/област-софия/община-драгоман/летница	Драгоман	София-област	22.929865	42.956867	43484	с	Летница		letnitsa	dragoman	sofija-oblast
https://www.ekatte.com/област-хасково/община-симеоновград/пясъчево	Симеоновград	Хасково	25.863208	42.106304	59210	с	Пясъчево		pjaschevo	simeonovgrad	haskovo
https://www.ekatte.com/област-враца/община-криводол/баурене	Криводол	Враца	23.487044	43.442569	2912	с	Баурене		baurene	krivodol	vratsa
https://www.ekatte.com/област-пловдив/община-карлово/клисура	Карлово	Пловдив	24.449643	42.693066	37277	гр	Клисура	gr	klisura	karlovo	plovdiv
https://www.ekatte.com/област-кърджали/община-джебел/контил	Джебел	Кърджали	25.182615	41.503535	38371	с	Контил		kontil	dzhebel	krdzhali
https://www.ekatte.com/област-софия/община-драгоман/ялботина	Драгоман	София-област	22.834242	42.873506	87343	с	Ялботина		jalbotina	dragoman	sofija-oblast
https://www.ekatte.com/област-велико-търново/община-златарица/чистово	Златарица	Велико Търново	26.072788	43.031812	81428	с	Чистово		chistovo	zlataritsa	veliko-trnovo
https://www.ekatte.com/област-кюстендил/община-кюстендил/мазарачево	Кюстендил	Кюстендил	22.623983	42.349813	46108	с	Мазарачево		mazarachevo	kjustendil	kjustendil
https://www.ekatte.com/област-силистра/община-дулово/прохлада	Дулово	Силистра	27.131375	43.698367	58709	с	Прохлада		prohlada	dulovo	silistra
https://www.ekatte.com/област-видин/община-кула/кула	Кула	Видин	22.5214	43.8878	40525	гр	Кула	gr	kula	kula	vidin
https://www.ekatte.com/област-пазарджик/община-панагюрище/оборище	Панагюрище	Пазарджик	24.0833	42.5167	53103	с	Оборище		oborische	panagjurische	pazardzhik
https://www.ekatte.com/област-софия/община-годеч/комщица	Годеч	София-област	22.994618	43.094621	38186	с	Комщица		komschitsa	godech	sofija-oblast
https://www.ekatte.com/област-враца/община-криводол/криводол	Криводол	Враца	23.475111	43.368257	39846	гр	Криводол	gr	krivodol	krivodol	vratsa
